dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
QHnwKs2OUZv,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:23:50.394+0000,,false
sv6SeKroHPV,202201,o7CJeTwDapk,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-07T06:16:36.507+0000,,false
wUDxFVBapIc,202201,UiGav1NitiR,wDiX34aiw6i,Lf2Axb9E6B4,3,hmis.amuria1,2022-02-10T13:11:19.277+0000,,false
sv6SeKroHPV,202201,UiGav1NitiR,wDiX34aiw6i,Lf2Axb9E6B4,8,hmis.amuria1,2022-02-10T13:09:40.652+0000,,false
D9A0afrTYPw,202201,UiGav1NitiR,wDiX34aiw6i,Lf2Axb9E6B4,3,biostat.amuria,2022-02-18T12:02:18.479+0000,,false
JhvC7ZR9hUe,202201,UiGav1NitiR,wDiX34aiw6i,Lf2Axb9E6B4,8,hmis.amuria1,2022-02-10T13:10:04.312+0000,,false
QHnwKs2OUZv,202201,UiGav1NitiR,wDiX34aiw6i,Lf2Axb9E6B4,3,hmis.amuria1,2022-02-10T13:11:36.464+0000,,false
sv6SeKroHPV,202201,a4Cp1oW19Lo,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.wera,2022-02-11T15:36:21.036+0000,,false
wUDxFVBapIc,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:22.405+0000,,false
LR8778hLH8U,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-03T09:19:08.006+0000,,false
aU0n2RXwQJC,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:14:43.306+0000,,false
LiSyn6bblsc,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:50.961+0000,,false
vC9pW0FEvd2,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:14:38.333+0000,,false
sv6SeKroHPV,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-03T09:13:56.919+0000,,false
D9A0afrTYPw,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:03.550+0000,,false
m68a9ZrLHQO,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-03T09:21:58.971+0000,,false
JhvC7ZR9hUe,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-03T09:16:18.137+0000,,false
QHnwKs2OUZv,202201,lGdKcxEQz4E,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-03T09:17:33.580+0000,,false
sv6SeKroHPV,202201,oRHreBW5Tyr,wDiX34aiw6i,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-15T06:17:34.200+0000,,false
sQ4EexvvhVe,202201,oRHreBW5Tyr,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-15T06:18:03.007+0000,,false
K7mLqvbNoFn,202201,jcEuyATQbMK,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.stclaire,2022-02-16T02:43:47.387+0000,,false
dKN174dcsmp,202201,jcEuyATQbMK,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.stclaire,2022-02-16T02:43:48.026+0000,,false
QQxE1VhHaGo,202201,jcEuyATQbMK,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.stclaire,2022-02-16T02:43:46.687+0000,,false
sv6SeKroHPV,202201,jcEuyATQbMK,wDiX34aiw6i,Lf2Axb9E6B4,6,hmis.stclaire,2022-02-12T11:06:42.407+0000,,false
sv6SeKroHPV,202201,N8L6gKVGOCM,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amucu,2022-02-07T08:23:40.802+0000,,false
LR8778hLH8U,202201,yV1l7X3U9ZG,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:49:19.235+0000,,false
sv6SeKroHPV,202201,yV1l7X3U9ZG,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:45:58.472+0000,,false
eJ6uwSt5TEp,202201,yV1l7X3U9ZG,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:54:56.151+0000,,false
JhvC7ZR9hUe,202201,yV1l7X3U9ZG,zh2zAaHyYQx,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:46:41.351+0000,,false
wUDxFVBapIc,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:52:11.254+0000,,false
SPADxEItrIQ,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:02:28.192+0000,,false
LR8778hLH8U,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:57:46.142+0000,,false
Rw3b8mGkyfh,202201,cd8AJF2SV0o,zh2zAaHyYQx,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:01:23.246+0000,,false
